,user_id,question_id,mid,Overall DA Score,Content Adequacy,Conciseness,Fluency,sourcerer_id
30,gwco2bE4TEA8XLCpxsJ0,88,0.0,75.0,5.0,3.0,2.0,22907975
31,gwco2bE4TEA8XLCpxsJ0,88,1.0,61.0,5.0,5.0,5.0,22907975
32,gwco2bE4TEA8XLCpxsJ0,88,2.0,61.0,5.0,5.0,5.0,22907975
33,gwco2bE4TEA8XLCpxsJ0,88,3.0,61.0,5.0,5.0,5.0,22907975
34,gwco2bE4TEA8XLCpxsJ0,88,4.0,99.0,5.0,5.0,5.0,22907975
35,gwco2bE4TEA8XLCpxsJ0,88,5.0,15.0,1.0,3.0,3.0,22907975
36,0bycblEY2OvdkiHFMALu,32,0.0,19.0,2.0,2.0,2.0,21098918
37,0bycblEY2OvdkiHFMALu,32,1.0,72.0,4.0,3.0,4.0,21098918
38,0bycblEY2OvdkiHFMALu,32,2.0,24.0,2.0,2.0,2.0,21098918
39,0bycblEY2OvdkiHFMALu,32,3.0,43.0,3.0,3.0,3.0,21098918
40,0bycblEY2OvdkiHFMALu,32,4.0,43.0,3.0,3.0,3.0,21098918
41,0bycblEY2OvdkiHFMALu,32,5.0,38.0,1.0,1.0,1.0,21098918
42,3J3rAMDmdaycnd5PwWgz,32,0.0,80.0,4.0,4.0,5.0,21098918
43,3J3rAMDmdaycnd5PwWgz,32,1.0,80.0,4.0,4.0,5.0,21098918
44,3J3rAMDmdaycnd5PwWgz,32,2.0,80.0,4.0,4.0,5.0,21098918
45,3J3rAMDmdaycnd5PwWgz,32,3.0,65.0,3.0,3.0,3.0,21098918
46,3J3rAMDmdaycnd5PwWgz,32,4.0,65.0,3.0,3.0,3.0,21098918
47,3J3rAMDmdaycnd5PwWgz,32,5.0,50.0,4.0,2.0,4.0,21098918
48,0tXHezQSO4TJl4j9EJzX,69,0.0,23.0,4.0,3.0,4.0,27801178
49,0tXHezQSO4TJl4j9EJzX,69,1.0,25.0,4.0,5.0,5.0,27801178
50,0tXHezQSO4TJl4j9EJzX,69,2.0,36.0,0.0,0.0,0.0,27801178
51,0tXHezQSO4TJl4j9EJzX,69,3.0,34.0,3.0,3.0,3.0,27801178
52,0tXHezQSO4TJl4j9EJzX,69,4.0,23.0,4.0,5.0,3.0,27801178
53,0tXHezQSO4TJl4j9EJzX,69,5.0,1.0,1.0,2.0,5.0,27801178
54,fskD6XlmCjKm2kMPnXl9,69,0.0,100.0,5.0,5.0,5.0,27801178
55,fskD6XlmCjKm2kMPnXl9,69,1.0,100.0,4.0,4.0,4.0,27801178
56,fskD6XlmCjKm2kMPnXl9,69,2.0,50.0,3.0,4.0,4.0,27801178
57,fskD6XlmCjKm2kMPnXl9,69,3.0,26.0,1.0,4.0,4.0,27801178
58,fskD6XlmCjKm2kMPnXl9,69,4.0,15.0,5.0,5.0,5.0,27801178
59,fskD6XlmCjKm2kMPnXl9,69,5.0,18.0,1.0,1.0,1.0,27801178
60,0tXHezQSO4TJl4j9EJzX,75,0.0,72.0,3.0,4.0,5.0,50717786
61,0tXHezQSO4TJl4j9EJzX,75,1.0,72.0,3.0,4.0,5.0,50717786
62,0tXHezQSO4TJl4j9EJzX,75,2.0,76.0,3.0,4.0,4.0,50717786
63,0tXHezQSO4TJl4j9EJzX,75,3.0,91.0,5.0,4.0,5.0,50717786
64,0tXHezQSO4TJl4j9EJzX,75,4.0,69.0,4.0,5.0,5.0,50717786
65,0tXHezQSO4TJl4j9EJzX,75,5.0,14.0,1.0,4.0,5.0,50717786
66,6meICs11BcPhaKH5KOYf,75,0.0,69.0,4.0,3.0,3.0,50717786
67,6meICs11BcPhaKH5KOYf,75,1.0,100.0,5.0,5.0,5.0,50717786
68,6meICs11BcPhaKH5KOYf,75,2.0,66.0,2.0,2.0,2.0,50717786
69,6meICs11BcPhaKH5KOYf,75,3.0,100.0,5.0,5.0,5.0,50717786
70,6meICs11BcPhaKH5KOYf,75,4.0,68.0,4.0,4.0,4.0,50717786
71,6meICs11BcPhaKH5KOYf,75,5.0,5.0,1.0,1.0,1.0,50717786
72,22KvSGRRlOWYwqgbL4ix,338,0.0,80.0,4.0,4.0,5.0,15689227
73,22KvSGRRlOWYwqgbL4ix,338,2.0,50.0,3.0,5.0,5.0,15689227
74,22KvSGRRlOWYwqgbL4ix,338,3.0,50.0,3.0,5.0,5.0,15689227
75,22KvSGRRlOWYwqgbL4ix,338,4.0,50.0,3.0,5.0,5.0,15689227
76,22KvSGRRlOWYwqgbL4ix,338,5.0,0.0,1.0,1.0,5.0,15689227
77,F1Wkdh3084XqsME8q3t6,338,1.0,100.0,5.0,5.0,5.0,15689227
78,RCPPNzQVyDIptmB9cqkI,338,0.0,28.0,3.0,2.0,3.0,15689227
79,RCPPNzQVyDIptmB9cqkI,338,2.0,72.0,4.0,3.0,4.0,15689227
80,RCPPNzQVyDIptmB9cqkI,338,3.0,72.0,4.0,3.0,4.0,15689227
81,RCPPNzQVyDIptmB9cqkI,338,4.0,72.0,4.0,3.0,4.0,15689227
82,RCPPNzQVyDIptmB9cqkI,338,5.0,34.0,2.0,4.0,3.0,15689227
83,TKojgZtO9H19c8aQLqtg,338,1.0,85.0,5.0,4.0,5.0,15689227
84,opbIuvNqdAcQ5byEt6xZ,338,0.0,84.0,4.0,4.0,4.0,15689227
85,opbIuvNqdAcQ5byEt6xZ,338,2.0,0.0,1.0,1.0,1.0,15689227
86,opbIuvNqdAcQ5byEt6xZ,338,3.0,0.0,1.0,1.0,1.0,15689227
87,opbIuvNqdAcQ5byEt6xZ,338,4.0,0.0,1.0,1.0,1.0,15689227
88,opbIuvNqdAcQ5byEt6xZ,338,5.0,2.0,1.0,1.0,1.0,15689227
89,2A3vufN4i9rjh7rWaFyh,177,0.0,1.0,1.0,1.0,3.0,35551047
90,2A3vufN4i9rjh7rWaFyh,177,1.0,0.0,1.0,1.0,3.0,35551047
91,2A3vufN4i9rjh7rWaFyh,177,2.0,3.0,1.0,1.0,1.0,35551047
92,2A3vufN4i9rjh7rWaFyh,177,3.0,3.0,1.0,1.0,1.0,35551047
93,2A3vufN4i9rjh7rWaFyh,177,4.0,4.0,1.0,1.0,1.0,35551047
94,2A3vufN4i9rjh7rWaFyh,177,5.0,30.0,1.0,1.0,5.0,35551047
95,TpUbWhIcGGRAwDJUORQk,177,0.0,75.0,4.0,4.0,5.0,35551047
96,TpUbWhIcGGRAwDJUORQk,177,1.0,75.0,4.0,5.0,5.0,35551047
97,TpUbWhIcGGRAwDJUORQk,177,2.0,50.0,3.0,4.0,3.0,35551047
98,TpUbWhIcGGRAwDJUORQk,177,3.0,50.0,3.0,4.0,3.0,35551047
99,TpUbWhIcGGRAwDJUORQk,177,4.0,51.0,3.0,5.0,4.0,35551047
100,TpUbWhIcGGRAwDJUORQk,177,5.0,15.0,2.0,4.0,5.0,35551047
101,2A3vufN4i9rjh7rWaFyh,232,0.0,70.0,3.0,3.0,5.0,17285225
102,2A3vufN4i9rjh7rWaFyh,232,1.0,80.0,3.0,3.0,5.0,17285225
103,2A3vufN4i9rjh7rWaFyh,232,2.0,30.0,2.0,1.0,5.0,17285225
104,2A3vufN4i9rjh7rWaFyh,232,3.0,90.0,3.0,3.0,5.0,17285225
105,2A3vufN4i9rjh7rWaFyh,232,4.0,100.0,5.0,5.0,5.0,17285225
106,2A3vufN4i9rjh7rWaFyh,232,5.0,4.0,1.0,1.0,5.0,17285225
107,4bTUXf5wr8916W7TAmyl,232,0.0,90.0,5.0,5.0,5.0,17285225
108,4bTUXf5wr8916W7TAmyl,232,1.0,74.0,4.0,5.0,5.0,17285225
109,4bTUXf5wr8916W7TAmyl,232,2.0,50.0,2.0,4.0,5.0,17285225
110,4bTUXf5wr8916W7TAmyl,232,3.0,50.0,3.0,4.0,5.0,17285225
111,4bTUXf5wr8916W7TAmyl,232,4.0,50.0,3.0,4.0,5.0,17285225
112,4bTUXf5wr8916W7TAmyl,232,5.0,21.0,1.0,2.0,4.0,17285225
113,Ua180DvIZupq2nAU72wj,232,0.0,80.0,4.0,4.0,4.0,17285225
114,Ua180DvIZupq2nAU72wj,232,1.0,80.0,4.0,4.0,4.0,17285225
115,Ua180DvIZupq2nAU72wj,232,2.0,80.0,4.0,4.0,4.0,17285225
116,Ua180DvIZupq2nAU72wj,232,3.0,80.0,4.0,4.0,4.0,17285225
117,Ua180DvIZupq2nAU72wj,232,4.0,80.0,4.0,4.0,4.0,17285225
118,Ua180DvIZupq2nAU72wj,232,5.0,20.0,1.0,1.0,1.0,17285225
119,2A3vufN4i9rjh7rWaFyh,276,0.0,70.0,3.0,2.0,3.0,29988245
120,2A3vufN4i9rjh7rWaFyh,276,1.0,5.0,1.0,1.0,5.0,29988245
121,2A3vufN4i9rjh7rWaFyh,276,2.0,3.0,1.0,1.0,2.0,29988245
122,2A3vufN4i9rjh7rWaFyh,276,3.0,0.0,1.0,1.0,5.0,29988245
123,2A3vufN4i9rjh7rWaFyh,276,4.0,1.0,1.0,1.0,1.0,29988245
124,2A3vufN4i9rjh7rWaFyh,276,5.0,0.0,1.0,1.0,3.0,29988245
125,OihW2eBmILzHYe3WduDd,276,0.0,2.0,1.0,3.0,1.0,29988245
126,OihW2eBmILzHYe3WduDd,276,1.0,8.0,3.0,3.0,3.0,29988245
127,OihW2eBmILzHYe3WduDd,276,2.0,4.0,3.0,3.0,2.0,29988245
128,OihW2eBmILzHYe3WduDd,276,3.0,50.0,3.0,3.0,4.0,29988245
129,OihW2eBmILzHYe3WduDd,276,4.0,16.0,3.0,3.0,2.0,29988245
130,OihW2eBmILzHYe3WduDd,276,5.0,1.0,1.0,1.0,1.0,29988245
131,2A3vufN4i9rjh7rWaFyh,390,0.0,0.0,1.0,1.0,1.0,27765938
132,2A3vufN4i9rjh7rWaFyh,390,2.0,20.0,2.0,1.0,2.0,27765938
133,2A3vufN4i9rjh7rWaFyh,390,3.0,20.0,2.0,1.0,2.0,27765938
134,2A3vufN4i9rjh7rWaFyh,390,4.0,20.0,2.0,1.0,2.0,27765938
135,2A3vufN4i9rjh7rWaFyh,390,5.0,1.0,1.0,1.0,1.0,27765938
136,3c8IvYr1u716Rb07ouQQ,390,0.0,70.0,3.0,3.0,3.0,27765938
137,3c8IvYr1u716Rb07ouQQ,390,2.0,70.0,3.0,3.0,0.0,27765938
138,3c8IvYr1u716Rb07ouQQ,390,3.0,70.0,3.0,3.0,3.0,27765938
139,3c8IvYr1u716Rb07ouQQ,390,4.0,70.0,0.0,0.0,0.0,27765938
140,3c8IvYr1u716Rb07ouQQ,390,5.0,4.0,1.0,1.0,1.0,27765938
141,bPTlR7pfeqjLNmcR0SFu,390,1.0,0.0,0.0,0.0,0.0,27765938
142,z9g4k002jw6NYLQEydmy,390,0.0,51.0,3.0,3.0,3.0,27765938
143,z9g4k002jw6NYLQEydmy,390,2.0,51.0,3.0,2.0,3.0,27765938
144,z9g4k002jw6NYLQEydmy,390,3.0,51.0,3.0,2.0,3.0,27765938
145,z9g4k002jw6NYLQEydmy,390,4.0,50.0,3.0,2.0,3.0,27765938
146,z9g4k002jw6NYLQEydmy,390,5.0,30.0,2.0,2.0,3.0,27765938
147,2A3vufN4i9rjh7rWaFyh,441,0.0,2.0,1.0,1.0,5.0,29860123
148,2A3vufN4i9rjh7rWaFyh,441,1.0,2.0,1.0,1.0,5.0,29860123
149,2A3vufN4i9rjh7rWaFyh,441,2.0,15.0,1.0,1.0,1.0,29860123
150,2A3vufN4i9rjh7rWaFyh,441,3.0,1.0,1.0,1.0,1.0,29860123
151,2A3vufN4i9rjh7rWaFyh,441,4.0,15.0,1.0,1.0,2.0,29860123
152,2A3vufN4i9rjh7rWaFyh,441,5.0,4.0,1.0,1.0,5.0,29860123
153,N7bOqjZjctVQaQRITi0c,441,0.0,47.0,2.0,4.0,5.0,29860123
154,N7bOqjZjctVQaQRITi0c,441,1.0,47.0,2.0,4.0,5.0,29860123
155,N7bOqjZjctVQaQRITi0c,441,2.0,22.0,2.0,4.0,3.0,29860123
156,N7bOqjZjctVQaQRITi0c,441,3.0,24.0,1.0,4.0,1.0,29860123
157,N7bOqjZjctVQaQRITi0c,441,4.0,47.0,2.0,4.0,3.0,29860123
158,N7bOqjZjctVQaQRITi0c,441,5.0,75.0,3.0,5.0,4.0,29860123
159,OVjmOs5xeX0M8mnIdieC,441,0.0,90.0,4.0,3.0,4.0,29860123
160,OVjmOs5xeX0M8mnIdieC,441,1.0,90.0,4.0,3.0,4.0,29860123
161,OVjmOs5xeX0M8mnIdieC,441,2.0,90.0,4.0,3.0,4.0,29860123
162,OVjmOs5xeX0M8mnIdieC,441,3.0,90.0,4.0,4.0,4.0,29860123
163,OVjmOs5xeX0M8mnIdieC,441,4.0,30.0,2.0,4.0,4.0,29860123
164,OVjmOs5xeX0M8mnIdieC,441,5.0,40.0,2.0,2.0,4.0,29860123
165,2PAH5xdskUkM54yRjOnW,180,1.0,80.0,4.0,5.0,5.0,16685308
166,VfKeOxeB1P2UekF2QUeT,180,0.0,55.0,4.0,3.0,5.0,16685308
167,VfKeOxeB1P2UekF2QUeT,180,2.0,40.0,4.0,5.0,5.0,16685308
168,VfKeOxeB1P2UekF2QUeT,180,3.0,60.0,5.0,5.0,5.0,16685308
169,VfKeOxeB1P2UekF2QUeT,180,4.0,60.0,5.0,5.0,5.0,16685308
170,VfKeOxeB1P2UekF2QUeT,180,5.0,11.0,3.0,2.0,5.0,16685308
171,WQHc0FRbllerXiXsvmsW,180,0.0,4.0,1.0,1.0,1.0,16685308
172,WQHc0FRbllerXiXsvmsW,180,2.0,40.0,4.0,4.0,4.0,16685308
173,WQHc0FRbllerXiXsvmsW,180,3.0,40.0,3.0,3.0,3.0,16685308
174,WQHc0FRbllerXiXsvmsW,180,4.0,57.0,4.0,4.0,4.0,16685308
175,WQHc0FRbllerXiXsvmsW,180,5.0,3.0,1.0,1.0,1.0,16685308
176,cleAq2ioAlfn0f46Mm1C,180,0.0,1.0,2.0,3.0,5.0,16685308
177,cleAq2ioAlfn0f46Mm1C,180,2.0,2.0,3.0,5.0,5.0,16685308
178,cleAq2ioAlfn0f46Mm1C,180,3.0,3.0,3.0,5.0,5.0,16685308
179,cleAq2ioAlfn0f46Mm1C,180,4.0,100.0,5.0,5.0,5.0,16685308
180,cleAq2ioAlfn0f46Mm1C,180,5.0,0.0,1.0,3.0,5.0,16685308
181,zWv3gTeJQPWKIQpRo42V,180,1.0,0.0,0.0,0.0,0.0,16685308
182,2PAH5xdskUkM54yRjOnW,186,1.0,60.0,5.0,3.0,1.0,19108671
183,YeOxWI1NGuI8oeqliRGy,186,1.0,57.0,5.0,3.0,5.0,19108671
184,jvZX454cqEqzgMxuTPVr,186,0.0,86.0,5.0,5.0,4.0,19108671
185,jvZX454cqEqzgMxuTPVr,186,2.0,46.0,3.0,5.0,5.0,19108671
186,jvZX454cqEqzgMxuTPVr,186,3.0,0.0,1.0,5.0,5.0,19108671
187,jvZX454cqEqzgMxuTPVr,186,4.0,4.0,1.0,5.0,5.0,19108671
188,jvZX454cqEqzgMxuTPVr,186,5.0,1.0,1.0,5.0,1.0,19108671
189,unLy4bVh7N8PYlTn4NHc,186,0.0,60.0,4.0,2.0,4.0,19108671
190,unLy4bVh7N8PYlTn4NHc,186,2.0,50.0,3.0,3.0,4.0,19108671
191,unLy4bVh7N8PYlTn4NHc,186,3.0,50.0,4.0,3.0,4.0,19108671
192,unLy4bVh7N8PYlTn4NHc,186,4.0,50.0,3.0,4.0,4.0,19108671
193,unLy4bVh7N8PYlTn4NHc,186,5.0,0.0,1.0,2.0,4.0,19108671
194,xQ7oHuMgdfGTxD7c82Nq,186,0.0,24.0,3.0,1.0,3.0,19108671
195,xQ7oHuMgdfGTxD7c82Nq,186,2.0,84.0,3.0,5.0,4.0,19108671
196,xQ7oHuMgdfGTxD7c82Nq,186,3.0,68.0,3.0,4.0,3.0,19108671
197,xQ7oHuMgdfGTxD7c82Nq,186,4.0,51.0,3.0,4.0,5.0,19108671
198,xQ7oHuMgdfGTxD7c82Nq,186,5.0,3.0,1.0,5.0,5.0,19108671
199,2PAH5xdskUkM54yRjOnW,189,1.0,100.0,5.0,5.0,5.0,32898120
200,98z3i5yZtrPFLesPhiGG,189,0.0,100.0,5.0,5.0,4.0,32898120
201,98z3i5yZtrPFLesPhiGG,189,2.0,5.0,2.0,3.0,1.0,32898120
202,98z3i5yZtrPFLesPhiGG,189,3.0,92.0,5.0,5.0,3.0,32898120
203,98z3i5yZtrPFLesPhiGG,189,4.0,83.0,5.0,4.0,2.0,32898120
204,98z3i5yZtrPFLesPhiGG,189,5.0,0.0,1.0,1.0,4.0,32898120
205,omOaBF3YuTmhjmmg5vEL,189,0.0,5.0,1.0,1.0,1.0,32898120
206,omOaBF3YuTmhjmmg5vEL,189,2.0,21.0,2.0,2.0,1.0,32898120
207,omOaBF3YuTmhjmmg5vEL,189,3.0,37.0,3.0,3.0,2.0,32898120
208,omOaBF3YuTmhjmmg5vEL,189,4.0,7.0,1.0,1.0,1.0,32898120
209,omOaBF3YuTmhjmmg5vEL,189,5.0,5.0,1.0,1.0,1.0,32898120
210,zWv3gTeJQPWKIQpRo42V,189,1.0,0.0,0.0,0.0,0.0,32898120
211,2PAH5xdskUkM54yRjOnW,207,1.0,0.0,1.0,1.0,1.0,22407601
212,F1Wkdh3084XqsME8q3t6,207,1.0,0.0,1.0,1.0,1.0,22407601
213,I5Uefymq7ArJRht2oIgR,207,0.0,81.0,4.0,4.0,4.0,22407601
214,I5Uefymq7ArJRht2oIgR,207,2.0,100.0,5.0,5.0,5.0,22407601
215,I5Uefymq7ArJRht2oIgR,207,3.0,66.0,3.0,4.0,4.0,22407601
216,I5Uefymq7ArJRht2oIgR,207,4.0,100.0,5.0,5.0,5.0,22407601
217,I5Uefymq7ArJRht2oIgR,207,5.0,9.0,1.0,1.0,2.0,22407601
218,n4gs36NizDth5YGJW6S4,207,0.0,59.0,4.0,4.0,4.0,22407601
219,n4gs36NizDth5YGJW6S4,207,2.0,100.0,5.0,5.0,5.0,22407601
220,n4gs36NizDth5YGJW6S4,207,3.0,38.0,4.0,3.0,2.0,22407601
221,n4gs36NizDth5YGJW6S4,207,4.0,100.0,5.0,5.0,5.0,22407601
222,n4gs36NizDth5YGJW6S4,207,5.0,48.0,3.0,4.0,4.0,22407601
223,2PAH5xdskUkM54yRjOnW,224,1.0,50.0,3.0,3.0,3.0,38221399
224,4RfTlJA8eHn1KjxgYmC0,224,0.0,89.0,5.0,5.0,5.0,38221399
225,4RfTlJA8eHn1KjxgYmC0,224,2.0,72.0,3.0,4.0,4.0,38221399
226,4RfTlJA8eHn1KjxgYmC0,224,3.0,40.0,3.0,2.0,2.0,38221399
227,4RfTlJA8eHn1KjxgYmC0,224,4.0,100.0,5.0,5.0,5.0,38221399
228,4RfTlJA8eHn1KjxgYmC0,224,5.0,2.0,1.0,1.0,1.0,38221399
229,bPTlR7pfeqjLNmcR0SFu,224,1.0,70.0,5.0,3.0,3.0,38221399
230,soo7FGnITKEf0ZpQ3GD1,224,0.0,50.0,4.0,4.0,4.0,38221399
231,soo7FGnITKEf0ZpQ3GD1,224,2.0,15.0,3.0,4.0,5.0,38221399
232,soo7FGnITKEf0ZpQ3GD1,224,3.0,70.0,5.0,5.0,5.0,38221399
233,soo7FGnITKEf0ZpQ3GD1,224,4.0,50.0,4.0,5.0,5.0,38221399
234,soo7FGnITKEf0ZpQ3GD1,224,5.0,0.0,1.0,3.0,4.0,38221399
235,xVDCVfcLkkJ9jWDiyz2P,224,0.0,62.0,2.0,5.0,5.0,38221399
236,xVDCVfcLkkJ9jWDiyz2P,224,2.0,90.0,4.0,5.0,5.0,38221399
237,xVDCVfcLkkJ9jWDiyz2P,224,3.0,84.0,3.0,5.0,5.0,38221399
238,xVDCVfcLkkJ9jWDiyz2P,224,4.0,70.0,3.0,5.0,5.0,38221399
239,xVDCVfcLkkJ9jWDiyz2P,224,5.0,11.0,1.0,5.0,5.0,38221399
240,2PAH5xdskUkM54yRjOnW,244,1.0,0.0,1.0,1.0,1.0,45750631
241,YysosahQfADdXTvCfgoc,244,0.0,68.0,4.0,4.0,4.0,45750631
242,YysosahQfADdXTvCfgoc,244,2.0,71.0,4.0,4.0,4.0,45750631
243,YysosahQfADdXTvCfgoc,244,3.0,71.0,4.0,4.0,4.0,45750631
244,YysosahQfADdXTvCfgoc,244,4.0,49.0,0.0,0.0,0.0,45750631
245,YysosahQfADdXTvCfgoc,244,5.0,10.0,1.0,1.0,1.0,45750631
246,fslyVjohF4u2pSiW3MhW,244,0.0,100.0,5.0,5.0,5.0,45750631
247,fslyVjohF4u2pSiW3MhW,244,2.0,70.0,2.0,5.0,5.0,45750631
248,fslyVjohF4u2pSiW3MhW,244,3.0,50.0,3.0,5.0,3.0,45750631
249,fslyVjohF4u2pSiW3MhW,244,4.0,10.0,1.0,3.0,5.0,45750631
250,fslyVjohF4u2pSiW3MhW,244,5.0,0.0,1.0,1.0,3.0,45750631
251,zWv3gTeJQPWKIQpRo42V,244,1.0,0.0,0.0,0.0,0.0,45750631
252,2PAH5xdskUkM54yRjOnW,245,1.0,10.0,1.0,5.0,5.0,26614289
253,F1Wkdh3084XqsME8q3t6,245,1.0,0.0,1.0,1.0,5.0,26614289
254,bmrBYCnNNuEsKhIMzikX,245,0.0,80.0,3.0,3.0,3.0,26614289
255,bmrBYCnNNuEsKhIMzikX,245,2.0,75.0,3.0,5.0,5.0,26614289
256,bmrBYCnNNuEsKhIMzikX,245,3.0,90.0,4.0,5.0,5.0,26614289
257,bmrBYCnNNuEsKhIMzikX,245,4.0,90.0,5.0,5.0,5.0,26614289
258,bmrBYCnNNuEsKhIMzikX,245,5.0,80.0,4.0,5.0,5.0,26614289
259,czZexEUapu5OUl9IJALG,245,0.0,25.0,2.0,3.0,3.0,26614289
260,czZexEUapu5OUl9IJALG,245,2.0,40.0,2.0,4.0,4.0,26614289
261,czZexEUapu5OUl9IJALG,245,3.0,40.0,2.0,4.0,4.0,26614289
262,czZexEUapu5OUl9IJALG,245,4.0,40.0,2.0,4.0,4.0,26614289
263,czZexEUapu5OUl9IJALG,245,5.0,25.0,2.0,3.0,4.0,26614289
264,2PAH5xdskUkM54yRjOnW,267,1.0,0.0,1.0,1.0,1.0,19331685
265,X0HP4r0PDXpyY5jTOX9B,267,0.0,87.0,3.0,3.0,4.0,19331685
266,X0HP4r0PDXpyY5jTOX9B,267,2.0,58.0,3.0,3.0,4.0,19331685
267,X0HP4r0PDXpyY5jTOX9B,267,3.0,53.0,3.0,3.0,4.0,19331685
268,X0HP4r0PDXpyY5jTOX9B,267,4.0,59.0,3.0,3.0,4.0,19331685
269,X0HP4r0PDXpyY5jTOX9B,267,5.0,81.0,4.0,4.0,5.0,19331685
270,YYRXjjzwoEWz9HeJjtQE,267,1.0,0.0,1.0,1.0,1.0,19331685
271,fbWf4WnRVFLE1nI1EAo9,267,0.0,56.0,3.0,3.0,5.0,19331685
272,fbWf4WnRVFLE1nI1EAo9,267,2.0,12.0,2.0,2.0,4.0,19331685
273,fbWf4WnRVFLE1nI1EAo9,267,3.0,12.0,2.0,2.0,5.0,19331685
274,fbWf4WnRVFLE1nI1EAo9,267,4.0,18.0,2.0,2.0,4.0,19331685
275,fbWf4WnRVFLE1nI1EAo9,267,5.0,0.0,1.0,1.0,5.0,19331685
276,2PAH5xdskUkM54yRjOnW,297,1.0,40.0,3.0,4.0,1.0,51013271
277,8cWMHTCDoW4pPRtgGsxl,297,0.0,50.0,4.0,4.0,2.0,51013271
278,8cWMHTCDoW4pPRtgGsxl,297,2.0,2.0,1.0,1.0,1.0,51013271
279,8cWMHTCDoW4pPRtgGsxl,297,3.0,25.0,1.0,1.0,1.0,51013271
280,8cWMHTCDoW4pPRtgGsxl,297,4.0,4.0,1.0,1.0,1.0,51013271
281,8cWMHTCDoW4pPRtgGsxl,297,5.0,3.0,1.0,1.0,1.0,51013271
282,YYRXjjzwoEWz9HeJjtQE,297,1.0,19.0,2.0,1.0,1.0,51013271
283,uFvTqxK8QTtDdy17GvjJ,297,0.0,3.0,0.0,0.0,0.0,51013271
284,uFvTqxK8QTtDdy17GvjJ,297,2.0,2.0,0.0,0.0,0.0,51013271
285,uFvTqxK8QTtDdy17GvjJ,297,3.0,1.0,0.0,0.0,0.0,51013271
286,uFvTqxK8QTtDdy17GvjJ,297,4.0,4.0,0.0,0.0,0.0,51013271
287,uFvTqxK8QTtDdy17GvjJ,297,5.0,0.0,0.0,0.0,0.0,51013271
288,2PAH5xdskUkM54yRjOnW,316,1.0,0.0,1.0,2.0,2.0,6508925
289,8cWMHTCDoW4pPRtgGsxl,316,0.0,10.0,3.0,3.0,1.0,6508925
290,8cWMHTCDoW4pPRtgGsxl,316,2.0,80.0,3.0,4.0,4.0,6508925
